# tau1,tau2,tau3
1.250847536843107832e+01,3.409761173522551481e+00,8.936655222865911297e-01
1.250744005182137286e+01,3.410026691640445140e+00,8.938579412148514036e-01
1.250640482067384518e+01,3.410292883164740996e+00,8.940501703830427971e-01
1.250536967533842869e+01,3.410559748036943173e+00,8.942422097184639096e-01
1.250433461616500530e+01,3.410827286198048647e+00,8.944340591484208902e-01
1.250329964350374290e+01,3.411095497588688907e+00,8.946257186003356843e-01
1.250226475770496570e+01,3.411364382149020269e+00,8.948171880017297131e-01
1.250122995911903701e+01,3.411633939818726979e+00,8.950084672801670305e-01
1.250019524809650129e+01,3.411904170537047865e+00,8.951995563633061703e-01
1.249916062498805225e+01,3.412175074242766115e+00,8.953904551788967048e-01
1.249812609014442799e+01,3.412446650874196408e+00,8.955811636547090782e-01
1.249709164391668459e+01,3.412718900369252406e+00,8.957716817186794911e-01
1.249605728665590121e+01,3.412991822665379260e+00,8.959620092987543583e-01
1.249502301871325827e+01,3.413265417699540283e+00,8.961521463229571438e-01
1.249398884044022395e+01,3.413539685408283564e+00,8.963420927194390986e-01
1.249295475218830909e+01,3.413814625727718877e+00,8.965318484163790069e-01
1.249192075430915061e+01,3.414090238593469717e+00,8.967214133420285949e-01
1.249088684715466613e+01,3.414366523940762566e+00,8.969107874247596035e-01
1.248985303107670752e+01,3.414643481704299433e+00,8.970999705929537660e-01
1.248881930642751570e+01,3.414921111818463029e+00,8.972889627751253760e-01
1.248778567355931557e+01,3.415199414217070295e+00,8.974777638998230334e-01
1.248675213282456831e+01,3.415478388833571799e+00,8.976663738956889294e-01
1.248571868457580969e+01,3.415758035600933162e+00,8.978547926914125510e-01
1.248468532916585438e+01,3.416038354451716330e+00,8.980430202157954067e-01
1.248365206694754725e+01,3.416319345317992084e+00,8.982310563976694251e-01
1.248261889827395343e+01,3.416601008131432859e+00,8.984189011659541313e-01
1.248158582349827839e+01,3.416883342823251901e+00,8.986065544496358859e-01
1.248055284297394074e+01,3.417166349324260999e+00,8.987940161777868697e-01
1.247951995705440353e+01,3.417450027564759463e+00,8.989812862795081294e-01
1.247848716609344066e+01,3.417734377474696661e+00,8.991683646840238353e-01
1.247745447044482603e+01,3.418019398983474844e+00,8.993552513205764765e-01
1.247642187046266038e+01,3.418305092020197389e+00,8.995419461185041321e-01
1.247538936650110841e+01,3.418591456513424998e+00,8.997284490072124941e-01
1.247435695891451068e+01,3.418878492391329349e+00,8.999147599161486655e-01
1.247332464805740848e+01,3.419166199581619825e+00,9.001008787748622231e-01
1.247229243428452783e+01,3.419454578011639434e+00,9.002868055129417124e-01
1.247126031795063916e+01,3.419743627608164083e+00,9.004725400600419594e-01
1.247022829941091615e+01,3.420033348297725873e+00,9.006580823459131580e-01
1.246919637902043476e+01,3.420323740006232072e+00,9.008434323003118305e-01
1.246816455713468130e+01,3.420614802659321718e+00,9.010285898531182891e-01
1.246713283410918827e+01,3.420906536182089397e+00,9.012135549342537022e-01
