# q1,q2,q3
8.406321237299364535e-01,-1.409903431024360776e+00,3.598007407300467253e-02
8.402474261968010394e-01,-1.409884740622737054e+00,3.714940065855714540e-02
8.398646740925446164e-01,-1.409854247884384515e+00,3.835423876303646618e-02
8.394837244895141382e-01,-1.409810561361889869e+00,3.958449487245935955e-02
8.391044165222004692e-01,-1.409752424367243684e+00,4.083026992988460918e-02
8.387265821024254553e-01,-1.409678731734781199e+00,4.208203200744889405e-02
8.383500538441098771e-01,-1.409588541776495951e+00,4.333076147587224675e-02
8.379746707720640009e-01,-1.409481083718567618e+00,4.456806921861401760e-02
8.376002822755809207e-01,-1.409355760977949457e+00,4.578628893624894086e-02
8.372267506789957681e-01,-1.409212150687002785e+00,4.697854497366665133e-02
8.368539527313985094e-01,-1.409049999905351847e+00,4.813879739565910670e-02
8.364817802616735243e-01,-1.408869218973993087e+00,4.926186624938306419e-02
8.361101401996110516e-01,-1.408669872469651141e+00,5.034343709656031313e-02
